Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institution - Persons,Population attending educational institution - Males,Population attending educational institution - Females,Illiterates - Persons,Illiterates - Males,Illiterates - Females,Literates - Persons,Literates - Males,Literates - Females,Educational level - Literate without education level - Persons,Educational level - Literate without education level - Males,Educational level - Literate without education level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Persons,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Males,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females
C3311,00,000,INDIA,Total,25-29,101413965,51344208,50069757,4308990,2714847,1594143,387620,156655,230965,3921370,2558192,1363178,130805,62515,68290,22244,7873,14371,24262,12909,11353,18359,11056,7303,24591,15775,8816,795243,537649,257594,26192,19299,6893,151985,117640,34345,2699198,1757686,941512
C3311,00,000,INDIA,Total,30-34,88594951,44660674,43934277,1797595,1029437,768158,381063,147906,233157,1416532,881531,535001,109997,45343,64654,21944,7656,14288,20820,10959,9861,13874,8142,5732,14919,9379,5540,267244,171621,95623,11802,8288,3514,49358,38910,10448,884916,570262,314654
C3311,00,000,INDIA,Total,35-59,308112432,157902159,150210273,4554917,2515284,2039633,1801016,725512,1075504,2753901,1789772,964129,414330,200476,213854,78910,36467,42443,67852,38074,29778,36903,23809,13094,40812,27921,12891,445853,305181,140672,23569,16828,6741,82064,66373,15691,1485603,1032420,453183
C3311,00,000,INDIA,Total,60+,103849040,51071872,52777168,1590783,803994,786789,961403,370665,590738,629380,433329,196051,113290,66660,46630,27227,16114,11113,19864,12562,7302,7870,5376,2494,9003,6639,2364,120247,79675,40572,6565,4963,1602,20288,15675,4613,282860,211947,70913
C3311,00,000,INDIA,Total,Age not stated,4489802,2372881,2116921,257615,142879,114736,96250,45420,50830,161365,97459,63906,11219,6448,4771,1934,1029,905,1530,837,693,873,540,333,1157,754,403,58777,34433,24344,1292,906,386,5377,3971,1406,76018,46572,29446
C3311,00,000,INDIA,Rural,All ages,833748852,427781058,405967794,214744835,116908145,97836690,24459584,12312227,12147357,190285251,104595918,85689333,2280085,1259734,1020351,67964032,35992015,31972017,50905933,27058292,23847641,30200963,16586267,13614696,19150571,11030573,8119998,12979337,8011776,4967561,128804,97243,31561,992668,744665,248003,5004443,3438610,1565833
C3311,00,000,INDIA,Rural,0-4,82986660,43036377,39950283,3221844,1687359,1534485,3221844,1687359,1534485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,5,19294779,10139548,9155231,4525763,2405515,2120248,4525763,2405515,2120248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,6,19041426,9908524,9132902,8585353,4517702,4067651,8585353,4517702,4067651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,000,INDIA,Rural,7,18149844,9399767,8750077,14140208,7397488,6742720,1679116,859170,819946,12461092,6538318,5922774,145291,81581,63710,12232733,6411512,5821221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
