Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institution - Persons,Population attending educational institution - Males,Population attending educational institution - Females,Illiterates - Persons,Illiterates - Males,Illiterates - Females,Literates - Persons,Literates - Males,Literates - Females,Educational level - Literate without education level - Persons,Educational level - Literate without education level - Males,Educational level - Literate without education level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Persons,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Males,Educational level - Higher Secondary/Intermediate Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females
C3311,06,000,State - HARYANA,Total,25-29,2231959,1178340,1053619,103704,63710,39994,5301,2408,2893,98403,61302,37101,1048,653,395,113,57,56,331,164,167,275,151,124,695,472,223,15040,10332,4708,614,461,153,4902,3546,1356,75223,45383,29840
C3311,06,000,State - HARYANA,Total,30-34,1893591,976844,916747,33026,18999,14027,4757,2077,2680,28269,16922,11347,424,232,192,96,44,52,317,169,148,181,97,84,371,245,126,3350,2098,1252,288,186,102,1277,890,387,21888,12929,8959
C3311,06,000,State - HARYANA,Total,35-59,6225793,3243944,2981849,63698,36256,27442,23394,9915,13479,40304,26341,13963,1274,681,593,322,187,135,887,498,389,569,390,179,993,717,276,3445,2351,1094,606,382,224,1938,1497,441,29975,19474,10501
C3311,06,000,State - HARYANA,Total,60+,2193755,1088621,1105134,24840,13206,11634,14196,6003,8193,10644,7203,3441,590,374,216,223,147,76,274,166,108,147,107,40,295,233,62,1525,931,594,224,156,68,861,590,271,6351,4414,1937
C3311,06,000,State - HARYANA,Total,Age not stated,31534,16888,14646,1853,1062,791,683,367,316,1170,695,475,32,22,10,6,5,1,8,6,2,5,4,1,15,10,5,377,211,166,18,13,5,90,67,23,609,351,258
C3311,06,000,State - HARYANA,Rural,All ages,16509359,8774006,7735353,4633002,2652177,1980825,455621,246400,209221,4177381,2405777,1771604,19825,11830,7995,1362444,764164,598280,1001643,563395,438248,632530,357849,274681,570241,339057,231184,386757,236215,150542,3678,2800,878,48915,37183,11732,146377,90345,56032
C3311,06,000,State - HARYANA,Rural,0-4,1602923,870623,732300,64201,35986,28215,64201,35986,28215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,5,348180,192130,156050,106641,60074,46567,106641,60074,46567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,6,334009,182337,151672,169059,93654,75405,169059,93654,75405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,7,333177,181029,152148,282332,155112,127220,23387,12629,10758,258945,142483,116462,1360,797,563,256391,140999,115392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,8,348535,190498,158037,317500,175763,141737,11187,5914,5273,306313,169849,136464,1215,701,514,304483,168771,135712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,9,315981,174478,141503,294616,164434,130182,6393,3296,3097,288223,161138,127085,1034,598,436,266280,149478,116802,20578,10872,9706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,10,386126,214227,171899,354499,199358,155141,6277,3155,3122,348222,196203,152019,1194,700,494,258549,147047,111502,88145,48259,39886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,11,343636,190067,153569,321885,180290,141595,4538,2218,2320,317347,178072,139275,1017,574,443,135847,77823,58024,180269,99549,80720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,12,376432,208087,168345,346640,194908,151732,4277,2079,2198,342363,192829,149534,1181,658,523,73073,41747,31326,242953,136590,106363,24905,13685,11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,13,346721,188180,158541,317256,175744,141512,3650,1801,1849,313606,173943,139663,1012,507,505,30681,17221,13460,203556,113984,89572,78191,42132,36059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,14,359944,195525,164419,317368,176747,140621,3604,1733,1871,313764,175014,138750,1039,553,486,14896,8299,6597,125748,71955,53793,171872,94091,77781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,15,376899,207291,169608,315005,178149,136856,3514,1717,1797,311491,176432,135059,997,552,445,7390,4163,3227,63983,37475,26508,163996,92259,71737,74944,41872,33072,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,16,372016,205491,166525,289319,166277,123042,3151,1556,1595,286168,164721,121447,1103,631,472,4108,2332,1776,30436,17927,12509,99653,58363,41290,150704,85360,65344,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,17,328020,182705,145315,234884,137926,96958,2516,1323,1193,232368,136603,95765,1014,603,411,2160,1250,910,13238,7742,5496,42898,26056,16842,172879,100833,72046,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Rural,18,407575,227291,180284,231190,140302,90888,2735,1392,1343,228455,138910,89545,1291,826,465,2048,1186,862,9289,5481,3808,23572,14665,8907,86563,54049,32514,94358,54343,40015,650,503,147,10539,7765,2774,0,0,0
C3311,06,000,State - HARYANA,Rural,19,315481,171613,143868,160991,97722,63269,1868,957,911,159123,96765,62358,1039,697,342,1834,1045,789,5809,3340,2469,9825,6056,3769,38657,24955,13702,91767,53022,38745,555,420,135,9506,7148,2358,0,0,0
C3311,06,000,State - HARYANA,Rural,20-24,1658579,889577,769002,405137,256090,149047,5906,2980,2926,399231,253110,146121,3202,2130,1072,4170,2477,1693,16604,9636,6968,16977,10118,6859,45349,31104,14245,186694,119044,67650,1607,1232,375,24053,18643,5410,100180,58492,41688
C3311,06,000,State - HARYANA,Rural,25-29,1384241,737729,646512,49134,32651,16483,3071,1373,1698,46063,31278,14785,588,379,209,76,39,37,200,100,100,161,83,78,445,323,122,9585,6841,2744,306,240,66,3048,2250,798,31571,20979,10592
C3311,06,000,State - HARYANA,Rural,30-34,1174200,605409,568791,14174,8935,5239,2996,1284,1712,11178,7651,3527,250,144,106,70,33,37,197,99,98,113,59,54,176,121,55,1834,1212,622,160,113,47,693,497,196,7635,5351,2284
C3311,06,000,State - HARYANA,Rural,35-59,3863212,2003643,1859569,26248,14477,11771,15700,6475,9225,10548,8002,2546,852,483,369,224,136,88,480,272,208,290,217,73,401,332,69,1401,1070,331,288,201,87,700,580,120,5704,4598,1106
C3311,06,000,State - HARYANA,Rural,60+,1512891,745065,767826,13836,6952,6884,10491,4560,5931,3345,2392,953,414,282,132,159,114,45,152,109,43,75,64,11,112,102,10,848,530,318,108,89,19,312,251,61,1048,781,267
C3311,06,000,State - HARYANA,Rural,Age not stated,20581,11011,9570,1087,626,461,459,244,215,628,382,246,23,15,8,5,4,1,6,5,1,2,1,1,11,6,5,270,153,117,4,2,2,64,49,15,239,144,95
C3311,06,000,State - HARYANA,Urban,All ages,8842103,4720728,4121375,2529932,1417052,1112880,266453,144045,122408,2263479,1273007,990472,13220,7915,5305,621157,350643,270514,463923,261932,201991,312418,175384,137034,313213,178143,135070,278978,153927,125051,4151,2796,1355,26523,18570,7953,226566,121824,104742
C3311,06,000,State - HARYANA,Urban,0-4,759596,413166,346430,60716,33692,27024,60716,33692,27024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,5,171810,94735,77075,63545,35435,28110,63545,35435,28110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,6,164203,90118,74085,83906,46317,37589,83906,46317,37589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,7,164572,89965,74607,137416,75820,61596,10514,5743,4771,126902,70077,56825,1086,647,439,125158,69045,56113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,8,165372,91157,74215,148508,82392,66116,5346,2808,2538,143162,79584,63578,814,464,350,141967,78897,63070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,9,152918,85378,67540,140643,78994,61649,3608,1873,1735,137035,77121,59914,710,453,257,124013,70019,53994,12045,6504,5541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,10,187576,106091,81485,170136,96907,73229,3699,1916,1783,166437,94991,71446,727,438,289,114927,66479,48448,50534,27934,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,11,163248,91972,71276,151171,85607,65564,2464,1274,1190,148707,84333,64374,600,368,232,54359,31569,22790,93571,52296,41275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,12,174458,97666,76792,159316,89645,69671,2182,1064,1118,157134,88581,68553,674,399,275,29236,16862,12374,112205,63405,48800,14856,7822,7034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,13,161985,89072,72913,148067,81820,66247,1822,891,931,146245,80929,65316,554,333,221,13331,7446,5885,87314,49368,37946,44904,23708,21196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,14,168552,93249,75303,150508,83673,66835,1754,798,956,148754,82875,65879,591,360,231,6582,3762,2820,48254,27753,20501,93219,50945,42274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,15,176828,98785,78043,150912,84057,66855,1704,806,898,149208,83251,65957,558,320,238,3639,2032,1607,24353,14148,10205,75380,42732,32648,45160,23960,21200,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,16,173619,97342,76277,142579,79905,62674,1574,767,807,141005,79138,61867,595,371,224,2026,1139,887,11949,6732,5217,39823,23427,16396,86503,47406,39097,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,17,162373,91537,70836,126855,71230,55625,1334,637,697,125521,70593,54928,571,335,236,1241,708,533,5823,3365,2458,17065,10210,6855,100723,55915,44808,0,0,0,0,0,0,0,0,0,0,0,0
C3311,06,000,State - HARYANA,Urban,18,200216,113677,86539,134315,76584,57731,1475,705,770,132840,75879,56961,812,510,302,1085,642,443,4646,2735,1911,10182,6311,3871,38954,23901,15053,70935,37519,33416,744,525,219,5369,3673,1696,0,0,0
C3311,06,000,State - HARYANA,Urban,19,164363,91816,72547,105341,59694,45647,1078,548,530,104263,59146,45117,814,525,289,963,545,418,3004,1788,1216,4960,3071,1889,16122,10355,5767,72957,39032,33925,630,440,190,4702,3324,1378,0,0,0
C3311,06,000,State - HARYANA,Urban,20-24,908907,483222,425685,333356,185688,147668,4118,1937,2181,329238,183751,145487,2873,1733,1140,2404,1384,1020,9443,5486,3957,11493,6833,4660,24527,15813,8714,125287,71259,54028,1893,1278,615,12201,8610,3591,138717,71126,67591
C3311,06,000,State - HARYANA,Urban,25-29,847718,440611,407107,54570,31059,23511,2230,1035,1195,52340,30024,22316,460,274,186,37,18,19,131,64,67,114,68,46,250,149,101,5455,3491,1964,308,221,87,1854,1296,558,43652,24404,19248
C3311,06,000,State - HARYANA,Urban,30-34,719391,371435,347956,18852,10064,8788,1761,793,968,17091,9271,7820,174,88,86,26,11,15,120,70,50,68,38,30,195,124,71,1516,886,630,128,73,55,584,393,191,14253,7578,6675
C3311,06,000,State - HARYANA,Urban,35-59,2362581,1240301,1122280,37450,21779,15671,7694,3440,4254,29756,18339,11417,422,198,224,98,51,47,407,226,181,279,173,106,592,385,207,2044,1281,763,318,181,137,1238,917,321,24271,14876,9395
C3311,06,000,State - HARYANA,Urban,60+,680864,343556,337308,11004,6254,4750,3705,1443,2262,7299,4811,2488,176,92,84,64,33,31,122,57,65,72,43,29,183,131,52,677,401,276,116,67,49,549,339,210,5303,3633,1670
C3311,06,000,State - HARYANA,Urban,Age not stated,10953,5877,5076,766,436,330,224,123,101,542,313,229,9,7,2,1,1,0,2,1,1,3,3,0,4,4,0,107,58,49,14,11,3,26,18,8,370,207,163
C3311,07,000,State - NCT OF DELHI,Total,All ages,16787941,8987326,7800615,4717065,2589973,2127092,413813,220143,193670,4303252,2369830,1933422,36206,20911,15295,1199903,658172,541731,947281,518707,428574,668978,365462,303516,555187,307347,247840,477371,263754,213617,3313,1759,1554,23623,14278,9345,387043,216965,170078
C3311,07,000,State - NCT OF DELHI,Total,0-4,1381200,734336,646864,82842,45093,37749,82842,45093,37749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,5,322952,175420,147532,109028,59846,49182,109028,59846,49182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,6,308302,165684,142618,155329,83466,71863,155329,83466,71863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,7,306299,163769,142530,262382,140540,121842,21888,11815,10073,240494,128725,111769,1897,1052,845,237662,127133,110529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,8,308389,166754,141635,285246,154612,130634,7595,4145,3450,277651,150467,127184,1767,1006,761,275435,149201,126234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,9,290030,157860,132170,271346,148014,123332,4154,2194,1960,267192,145820,121372,1649,957,692,243700,133528,110172,21577,11175,10402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,10,363540,199751,163789,336671,185416,151255,4129,2170,1959,332542,183246,149296,2003,1146,857,233833,130827,103006,96454,51121,45333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,11,313738,170780,142958,295055,160888,134167,2220,1131,1089,292835,159757,133078,1853,1077,776,106565,59928,46637,184243,98662,85581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,12,335583,183037,152546,312574,170577,141997,1568,730,838,311006,169847,141159,1901,1090,811,52703,29705,22998,232019,126504,105515,24200,12446,11754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,13,310246,166567,143679,288080,154968,133112,1200,501,699,286880,154467,132413,1769,995,774,21956,12120,9836,185220,101419,83801,77774,39844,37930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,14,325040,175311,149729,294150,158811,135339,1135,460,675,293015,158351,134664,1762,1013,749,10382,5750,4632,105446,59375,46071,175256,92113,83143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,15,334622,183018,151604,288709,157258,131451,1121,479,642,287588,156779,130809,1713,1020,693,5076,2895,2181,51301,29557,21744,165910,90623,75287,63443,32601,30842,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,16,327551,179164,148387,269364,146505,122859,1011,454,557,268353,146051,122302,1666,955,711,2839,1596,1243,25306,14475,10831,103128,58023,45105,135285,70919,64366,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,17,309686,171583,138103,239625,131469,108156,829,350,479,238796,131119,107677,1678,970,708,1781,1024,757,12249,7051,5198,51415,29809,21606,171546,92195,79351,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,18,384172,217908,166264,248255,138430,109825,931,424,507,247324,138006,109318,2126,1266,860,1864,1099,765,9087,5372,3715,31033,18644,12389,88813,51802,37011,110903,57878,53025,331,170,161,2996,1687,1309,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,19,311344,173445,137899,196438,108955,87483,735,300,435,195703,108655,87048,2141,1259,882,1560,851,709,6266,3617,2649,14269,8484,5785,40070,24439,15631,126848,67474,59374,437,233,204,3938,2198,1740,0,0,0
C3311,07,000,State - NCT OF DELHI,Total,20-24,1764060,951411,812649,603305,341672,261633,2954,1250,1704,600351,340422,259929,8593,5118,3475,4061,2303,1758,17102,9878,7224,25362,15083,10279,54897,34628,20269,225500,129242,96258,1684,904,780,13037,7875,5162,249514,135046,114468
C3311,07,000,State - NCT OF DELHI,Total,25-29,1668326,878196,790130,95023,56388,38635,1973,782,1191,93050,55606,37444,1698,1024,674,105,45,60,183,102,81,195,123,72,499,328,171,9575,6371,3204,389,212,177,2053,1380,673,78233,45958,32275
C3311,07,000,State - NCT OF DELHI,Total,30-34,1434699,757455,677244,25238,14457,10781,1799,627,1172,23439,13830,9609,512,271,241,53,28,25,148,73,75,107,63,44,158,108,50,1665,1056,609,122,63,59,472,329,143,20142,11807,8335
C3311,07,000,State - NCT OF DELHI,Total,35-59,4524015,2429947,2094068,45737,25714,20023,7769,2740,5029,37968,22974,14994,1070,488,582,224,95,129,489,240,249,261,164,97,364,251,113,1853,1141,712,274,141,133,831,615,216,32439,19755,12684
C3311,07,000,State - NCT OF DELHI,Total,60+,1147445,576755,570690,11548,6299,5249,3188,971,2217,8360,5328,3032,387,190,197,102,43,59,186,82,104,65,41,24,108,75,33,855,498,357,75,36,39,274,179,95,6251,4157,2094
C3311,07,000,State - NCT OF DELHI,Total,Age not stated,16702,9175,7527,1120,595,525,415,215,200,705,380,325,21,14,7,2,1,1,5,4,1,3,2,1,4,1,3,172,94,78,1,0,1,22,15,7,464,242,222
C3311,07,000,State - NCT OF DELHI,Rural,All ages,419042,226321,192721,121535,68746,52789,10753,5749,5004,110782,62997,47785,722,417,305,33861,19064,14797,25956,14727,11229,18321,10270,8051,14401,8261,6140,10687,6233,4454,44,26,18,1163,656,507,5530,3287,2243
C3311,07,000,State - NCT OF DELHI,Rural,0-4,39125,21481,17644,1957,1121,836,1957,1121,836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,5,9183,5159,4024,2836,1584,1252,2836,1584,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,6,8408,4619,3789,4122,2225,1897,4122,2225,1897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,7,8514,4710,3804,7318,4052,3266,546,301,245,6772,3751,3021,49,29,20,6703,3710,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,8,8534,4705,3829,7901,4357,3544,187,92,95,7714,4265,3449,37,22,15,7665,4237,3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,9,7955,4505,3450,7479,4246,3233,112,60,52,7367,4186,3181,41,29,12,6644,3802,2842,678,353,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,10,10471,5823,4648,9695,5414,4281,113,66,47,9582,5348,4234,41,29,12,6710,3796,2914,2823,1519,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,11,8562,4770,3792,8067,4525,3542,60,26,34,8007,4499,3508,37,19,18,2981,1745,1236,4987,2735,2252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,12,9423,5240,4183,8792,4920,3872,46,18,28,8746,4902,3844,30,16,14,1667,943,724,6337,3563,2774,707,376,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,13,8617,4835,3782,8044,4548,3496,45,17,28,7999,4531,3468,36,22,14,683,396,287,5000,2909,2091,2280,1204,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,14,8810,4811,3999,7969,4400,3569,29,13,16,7940,4387,3553,34,18,16,327,180,147,2830,1664,1166,4745,2523,2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,15,9078,4996,4082,7767,4299,3468,27,8,19,7740,4291,3449,35,19,16,137,76,61,1502,888,614,4367,2423,1944,1698,884,814,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,16,8989,4988,4001,7381,4142,3239,27,13,14,7354,4129,3225,35,18,17,98,43,55,671,408,263,3004,1770,1234,3543,1887,1656,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,17,8211,4707,3504,6169,3558,2611,22,7,15,6147,3551,2596,48,31,17,42,23,19,332,199,133,1461,872,589,4262,2424,1838,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,18,10169,5802,4367,6159,3580,2579,29,11,18,6130,3569,2561,41,26,15,56,31,25,226,131,95,793,501,292,2336,1431,905,2500,1359,1141,11,5,6,159,80,79,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,19,7920,4423,3497,4493,2622,1871,18,9,9,4475,2613,1862,37,21,16,41,24,17,167,99,68,357,220,137,1075,673,402,2571,1455,1116,7,3,4,213,115,98,0,0,0
C3311,07,000,State - NCT OF DELHI,Rural,20-24,44407,23805,20602,12538,7461,5077,94,39,55,12444,7422,5022,150,82,68,101,56,45,391,253,138,599,377,222,1459,946,513,5290,3180,2110,15,11,4,680,393,287,3749,2116,1633
C3311,07,000,State - NCT OF DELHI,Rural,25-29,39250,20584,18666,1478,933,545,44,15,29,1434,918,516,21,15,6,1,0,1,1,1,0,1,1,0,7,5,2,229,169,60,5,3,2,76,50,26,1091,673,418
C3311,07,000,State - NCT OF DELHI,Rural,30-34,33833,17431,16402,417,245,172,52,12,40,365,233,132,11,5,6,0,0,0,3,3,0,2,1,1,10,5,5,40,31,9,3,1,2,11,6,5,282,179,103
C3311,07,000,State - NCT OF DELHI,Rural,35-59,101932,55188,46744,725,405,320,265,74,191,460,331,129,26,11,15,3,2,1,7,2,5,5,2,3,9,4,5,34,21,13,3,3,0,13,7,6,355,279,76
C3311,07,000,State - NCT OF DELHI,Rural,60+,27134,13458,13676,197,91,106,105,28,77,92,63,29,13,5,8,2,0,2,1,0,1,0,0,0,2,2,0,17,14,3,0,0,0,7,3,4,49,38,11
C3311,07,000,State - NCT OF DELHI,Rural,Age not stated,517,281,236,31,18,13,17,10,7,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,0,0,4,2,2,4,2,2
C3311,07,000,State - NCT OF DELHI,Urban,All ages,16368899,8761005,7607894,4595530,2521227,2074303,403060,214394,188666,4192470,2306833,1885637,35484,20494,14990,1166042,639108,526934,921325,503980,417345,650657,355192,295465,540786,299086,241700,466684,257521,209163,3269,1733,1536,22460,13622,8838,381513,213678,167835
C3311,07,000,State - NCT OF DELHI,Urban,0-4,1342075,712855,629220,80885,43972,36913,80885,43972,36913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,5,313769,170261,143508,106192,58262,47930,106192,58262,47930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,6,299894,161065,138829,151207,81241,69966,151207,81241,69966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,7,297785,159059,138726,255064,136488,118576,21342,11514,9828,233722,124974,108748,1848,1023,825,230959,123423,107536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,8,299855,162049,137806,277345,150255,127090,7408,4053,3355,269937,146202,123735,1730,984,746,267770,144964,122806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,9,282075,153355,128720,263867,143768,120099,4042,2134,1908,259825,141634,118191,1608,928,680,237056,129726,107330,20899,10822,10077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,10,353069,193928,159141,326976,180002,146974,4016,2104,1912,322960,177898,145062,1962,1117,845,227123,127031,100092,93631,49602,44029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,11,305176,166010,139166,286988,156363,130625,2160,1105,1055,284828,155258,129570,1816,1058,758,103584,58183,45401,179256,95927,83329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,12,326160,177797,148363,303782,165657,138125,1522,712,810,302260,164945,137315,1871,1074,797,51036,28762,22274,225682,122941,102741,23493,12070,11423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,13,301629,161732,139897,280036,150420,129616,1155,484,671,278881,149936,128945,1733,973,760,21273,11724,9549,180220,98510,81710,75494,38640,36854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,14,316230,170500,145730,286181,154411,131770,1106,447,659,285075,153964,131111,1728,995,733,10055,5570,4485,102616,57711,44905,170511,89590,80921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,07,000,State - NCT OF DELHI,Urban,15,325544,178022,147522,280942,152959,127983,1094,471,623,279848,152488,127360,1678,1001,677,4939,2819,2120,49799,28669,21130,161543,88200,73343,61745,31717,30028,0,0,0,0,0,0,0,0,0,0,0,0
