,State,Gender,Education,Year,Population
78,Jammu & Kashmir,Female,Middle,2008,234113.0
79,Jammu & Kashmir,Female,Middle,2009,244400.0
80,Jammu & Kashmir,Female,Middle,2010,254687.0
81,Jammu & Kashmir,Female,Middle,2012,275255.0
82,Jammu & Kashmir,Female,Middle,2013,285542.0
83,Jammu & Kashmir,Female,Middle,2014,295829.0
84,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2001,44.0
85,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2011,555.0
86,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2002,96.0
87,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2003,148.0
88,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2004,200.0
89,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2005,252.0
90,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2006,304.0
91,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2007,356.0
92,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2008,408.0
93,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2009,460.0
94,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2010,512.0
95,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2012,607.0
96,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2013,659.0
97,Jammu & Kashmir,Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2014,711.0
98,Jammu & Kashmir,Female,Primary,2001,258158.0
99,Jammu & Kashmir,Female,Primary,2011,357303.0
100,Jammu & Kashmir,Female,Primary,2002,268073.0
101,Jammu & Kashmir,Female,Primary,2003,277988.0
102,Jammu & Kashmir,Female,Primary,2004,287903.0
103,Jammu & Kashmir,Female,Primary,2005,297818.0
104,Jammu & Kashmir,Female,Primary,2006,307733.0
105,Jammu & Kashmir,Female,Primary,2007,317648.0
106,Jammu & Kashmir,Female,Primary,2008,327563.0
107,Jammu & Kashmir,Female,Primary,2009,337478.0
108,Jammu & Kashmir,Female,Primary,2010,347393.0
109,Jammu & Kashmir,Female,Primary,2012,367218.0
110,Jammu & Kashmir,Female,Primary,2013,377133.0
111,Jammu & Kashmir,Female,Primary,2014,387048.0
112,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2001,324.0
113,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2011,7009.0
114,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2002,993.0
115,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2003,1662.0
116,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2004,2331.0
117,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2005,3000.0
118,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2006,3669.0
119,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2007,4338.0
120,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2008,5007.0
121,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2009,5676.0
122,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2010,6345.0
123,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2012,7678.0
124,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2013,8347.0
125,Jammu & Kashmir,Female,Technical Diploma Or Certificate Not Equal To Degree,2014,9016.0
126,Jammu & Kashmir,Female,Unclassified,2001,87.0
127,Jammu & Kashmir,Female,Unclassified,2011,5101.0
128,Jammu & Kashmir,Female,Unclassified,2002,589.0
129,Jammu & Kashmir,Female,Unclassified,2003,1091.0
130,Jammu & Kashmir,Female,Unclassified,2004,1593.0
131,Jammu & Kashmir,Female,Unclassified,2005,2095.0
132,Jammu & Kashmir,Female,Unclassified,2006,2597.0
133,Jammu & Kashmir,Female,Unclassified,2007,3099.0
134,Jammu & Kashmir,Female,Unclassified,2008,3601.0
135,Jammu & Kashmir,Female,Unclassified,2009,4103.0
136,Jammu & Kashmir,Female,Unclassified,2010,4605.0
137,Jammu & Kashmir,Female,Unclassified,2012,5603.0
138,Jammu & Kashmir,Female,Unclassified,2013,6105.0
139,Jammu & Kashmir,Female,Unclassified,2014,6607.0
