,State,Gender,Education,Year,Population
2254,Haryana,Male,Primary,2001,724852.0
2255,Haryana,Male,Primary,2011,825327.0
2256,Haryana,Male,Primary,2002,734900.0
2257,Haryana,Male,Primary,2003,744948.0
2258,Haryana,Male,Primary,2004,754996.0
2259,Haryana,Male,Primary,2005,765044.0
2260,Haryana,Male,Primary,2006,775092.0
2261,Haryana,Male,Primary,2007,785140.0
2262,Haryana,Male,Primary,2008,795188.0
2263,Haryana,Male,Primary,2009,805236.0
2264,Haryana,Male,Primary,2010,815284.0
2265,Haryana,Male,Primary,2012,835375.0
2266,Haryana,Male,Primary,2013,845423.0
2267,Haryana,Male,Primary,2014,855471.0
2268,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2001,8420.0
2269,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2011,55753.0
2270,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2002,13154.0
2271,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2003,17888.0
2272,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2004,22622.0
2273,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2005,27356.0
2274,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2006,32090.0
2275,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2007,36824.0
2276,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2008,41558.0
2277,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2009,46292.0
2278,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2010,51026.0
2279,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2012,60487.0
2280,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2013,65221.0
2281,Haryana,Male,Technical Diploma Or Certificate Not Equal To Degree,2014,69955.0
2282,Haryana,Male,Unclassified,2001,257.0
2283,Haryana,Male,Unclassified,2011,4812.0
2284,Haryana,Male,Unclassified,2002,713.0
2285,Haryana,Male,Unclassified,2003,1169.0
2286,Haryana,Male,Unclassified,2004,1625.0
2287,Haryana,Male,Unclassified,2005,2081.0
2288,Haryana,Male,Unclassified,2006,2537.0
2289,Haryana,Male,Unclassified,2007,2993.0
2290,Haryana,Male,Unclassified,2008,3449.0
2291,Haryana,Male,Unclassified,2009,3905.0
2292,Haryana,Male,Unclassified,2010,4361.0
2293,Haryana,Male,Unclassified,2012,5268.0
2294,Haryana,Male,Unclassified,2013,5724.0
2295,Haryana,Male,Unclassified,2014,6180.0
2296,Haryana,Male,Illiterate,2001,260104.0
2297,Haryana,Male,Illiterate,2011,390445.0
2298,Haryana,Male,Illiterate,2002,273139.0
2299,Haryana,Male,Illiterate,2003,286174.0
2300,Haryana,Male,Illiterate,2004,299209.0
2301,Haryana,Male,Illiterate,2005,312244.0
2302,Haryana,Male,Illiterate,2006,325279.0
2303,Haryana,Male,Illiterate,2007,338314.0
2304,Haryana,Male,Illiterate,2008,351349.0
2305,Haryana,Male,Illiterate,2009,364384.0
2306,Haryana,Male,Illiterate,2010,377419.0
2307,Haryana,Male,Illiterate,2012,403480.0
2308,Haryana,Male,Illiterate,2013,416515.0
2309,Haryana,Male,Illiterate,2014,429550.0
2310,Haryana,Male,Literate,2001,2885232.0
2311,Haryana,Male,Literate,2011,3678784.0
2312,Haryana,Male,Literate,2002,2964588.0
2313,Haryana,Male,Literate,2003,3043944.0
2314,Haryana,Male,Literate,2004,3123300.0
2315,Haryana,Male,Literate,2005,3202656.0
2316,Haryana,Male,Literate,2006,3282012.0
2317,Haryana,Male,Literate,2007,3361368.0
2318,Haryana,Male,Literate,2008,3440724.0
2319,Haryana,Male,Literate,2009,3520080.0
2320,Haryana,Male,Literate,2010,3599436.0
2321,Haryana,Male,Literate,2012,3758140.0
2322,Haryana,Male,Literate,2013,3837496.0
2323,Haryana,Male,Literate,2014,3916852.0
2324,Haryana,Male,Population Attending Educational Institutions,2001,3145336.0
2325,Haryana,Male,Population Attending Educational Institutions,2011,4069229.0
2326,Haryana,Male,Population Attending Educational Institutions,2002,3237726.0
2327,Haryana,Male,Population Attending Educational Institutions,2003,3330116.0
2328,Haryana,Male,Population Attending Educational Institutions,2004,3422506.0
2329,Haryana,Male,Population Attending Educational Institutions,2005,3514896.0
2330,Haryana,Male,Population Attending Educational Institutions,2006,3607286.0
2331,Haryana,Male,Population Attending Educational Institutions,2007,3699676.0
2332,Haryana,Male,Population Attending Educational Institutions,2008,3792066.0
2333,Haryana,Male,Population Attending Educational Institutions,2009,3884456.0
2334,Haryana,Male,Population Attending Educational Institutions,2010,3976846.0
2335,Haryana,Male,Population Attending Educational Institutions,2012,4161619.0
2336,Haryana,Male,Population Attending Educational Institutions,2013,4254009.0
2337,Haryana,Male,Population Attending Educational Institutions,2014,4346399.0
2338,Haryana,Male,Total Population,2001,11363953.0
2339,Haryana,Male,Total Population,2011,13494734.0
2340,Haryana,Male,Total Population,2002,11577032.0
2341,Haryana,Male,Total Population,2003,11790111.0
2342,Haryana,Male,Total Population,2004,12003190.0
2343,Haryana,Male,Total Population,2005,12216269.0
2344,Haryana,Male,Total Population,2006,12429348.0
2345,Haryana,Male,Total Population,2007,12642427.0
2346,Haryana,Male,Total Population,2008,12855506.0
2347,Haryana,Male,Total Population,2009,13068585.0
2348,Haryana,Male,Total Population,2010,13281664.0
2349,Haryana,Male,Total Population,2012,13707813.0
2350,Haryana,Male,Total Population,2013,13920892.0
2351,Haryana,Male,Total Population,2014,14133971.0
2352,Delhi (Ut),Female,Below Primary,2001,547768.0
2353,Delhi (Ut),Female,Below Primary,2011,541731.0
2354,Delhi (Ut),Female,Below Primary,2002,547165.0
2355,Delhi (Ut),Female,Below Primary,2003,546562.0
2356,Delhi (Ut),Female,Below Primary,2004,545959.0
2357,Delhi (Ut),Female,Below Primary,2005,545356.0
2358,Delhi (Ut),Female,Below Primary,2006,544753.0
2359,Delhi (Ut),Female,Below Primary,2007,544150.0
2360,Delhi (Ut),Female,Below Primary,2008,543547.0
2361,Delhi (Ut),Female,Below Primary,2009,542944.0
2362,Delhi (Ut),Female,Below Primary,2010,542341.0
2363,Delhi (Ut),Female,Below Primary,2012,541128.0
2364,Delhi (Ut),Female,Below Primary,2013,540525.0
2365,Delhi (Ut),Female,Below Primary,2014,539922.0
2366,Delhi (Ut),Female,Graduate & Above,2001,51911.0
2367,Delhi (Ut),Female,Graduate & Above,2011,170078.0
2368,Delhi (Ut),Female,Graduate & Above,2002,63728.0
2369,Delhi (Ut),Female,Graduate & Above,2003,75545.0
2370,Delhi (Ut),Female,Graduate & Above,2004,87362.0
2371,Delhi (Ut),Female,Graduate & Above,2005,99179.0
2372,Delhi (Ut),Female,Graduate & Above,2006,110996.0
2373,Delhi (Ut),Female,Graduate & Above,2007,122813.0
2374,Delhi (Ut),Female,Graduate & Above,2008,134630.0
2375,Delhi (Ut),Female,Graduate & Above,2009,146447.0
2376,Delhi (Ut),Female,Graduate & Above,2010,158264.0
2377,Delhi (Ut),Female,Graduate & Above,2012,181895.0
2378,Delhi (Ut),Female,Graduate & Above,2013,193712.0
2379,Delhi (Ut),Female,Graduate & Above,2014,205529.0
2380,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2001,122029.0
2381,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2011,213617.0
2382,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2002,131188.0
2383,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2003,140347.0
2384,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2004,149506.0
2385,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2005,158665.0
2386,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2006,167824.0
2387,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2007,176983.0
2388,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2008,186142.0
2389,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2009,195301.0
2390,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2010,204460.0
2391,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2012,222776.0
2392,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2013,231935.0
2393,Delhi (Ut),Female,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2014,241094.0
2394,Delhi (Ut),Female,Literate Without Educational Level,2001,2078.0
2395,Delhi (Ut),Female,Literate Without Educational Level,2011,15295.0
2396,Delhi (Ut),Female,Literate Without Educational Level,2002,3400.0
2397,Delhi (Ut),Female,Literate Without Educational Level,2003,4722.0
2398,Delhi (Ut),Female,Literate Without Educational Level,2004,6044.0
2399,Delhi (Ut),Female,Literate Without Educational Level,2005,7366.0
2400,Delhi (Ut),Female,Literate Without Educational Level,2006,8688.0
2401,Delhi (Ut),Female,Literate Without Educational Level,2007,10010.0
2402,Delhi (Ut),Female,Literate Without Educational Level,2008,11332.0
2403,Delhi (Ut),Female,Literate Without Educational Level,2009,12654.0
2404,Delhi (Ut),Female,Literate Without Educational Level,2010,13976.0
2405,Delhi (Ut),Female,Literate Without Educational Level,2012,16617.0
2406,Delhi (Ut),Female,Literate Without Educational Level,2013,17939.0
2407,Delhi (Ut),Female,Literate Without Educational Level,2014,19261.0
2408,Delhi (Ut),Female,Matric/Secondary,2001,154843.0
2409,Delhi (Ut),Female,Matric/Secondary,2011,247840.0
2410,Delhi (Ut),Female,Matric/Secondary,2002,164143.0
2411,Delhi (Ut),Female,Matric/Secondary,2003,173443.0
2412,Delhi (Ut),Female,Matric/Secondary,2004,182743.0
2413,Delhi (Ut),Female,Matric/Secondary,2005,192043.0
2414,Delhi (Ut),Female,Matric/Secondary,2006,201343.0
2415,Delhi (Ut),Female,Matric/Secondary,2007,210643.0
2416,Delhi (Ut),Female,Matric/Secondary,2008,219943.0
2417,Delhi (Ut),Female,Matric/Secondary,2009,229243.0
2418,Delhi (Ut),Female,Matric/Secondary,2010,238543.0
2419,Delhi (Ut),Female,Matric/Secondary,2012,257140.0
2420,Delhi (Ut),Female,Matric/Secondary,2013,266440.0
2421,Delhi (Ut),Female,Matric/Secondary,2014,275740.0
2422,Delhi (Ut),Female,Middle,2001,212869.0
2423,Delhi (Ut),Female,Middle,2011,303516.0
2424,Delhi (Ut),Female,Middle,2002,221934.0
2425,Delhi (Ut),Female,Middle,2003,230999.0
2426,Delhi (Ut),Female,Middle,2004,240064.0
2427,Delhi (Ut),Female,Middle,2005,249129.0
2428,Delhi (Ut),Female,Middle,2006,258194.0
2429,Delhi (Ut),Female,Middle,2007,267259.0
2430,Delhi (Ut),Female,Middle,2008,276324.0
2431,Delhi (Ut),Female,Middle,2009,285389.0
2432,Delhi (Ut),Female,Middle,2010,294454.0
2433,Delhi (Ut),Female,Middle,2012,312581.0
2434,Delhi (Ut),Female,Middle,2013,321646.0
2435,Delhi (Ut),Female,Middle,2014,330711.0
2436,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2001,284.0
2437,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2011,1554.0
2438,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2002,411.0
2439,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2003,538.0
2440,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2004,665.0
2441,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2005,792.0
2442,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2006,919.0
2443,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2007,1046.0
2444,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2008,1173.0
2445,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2009,1300.0
2446,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2010,1427.0
2447,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2012,1681.0
2448,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2013,1808.0
2449,Delhi (Ut),Female,Non-Technical Diploma Or Certificate Not Equal To Degree,2014,1935.0
2450,Delhi (Ut),Female,Primary,2001,379878.0
2451,Delhi (Ut),Female,Primary,2011,428574.0
2452,Delhi (Ut),Female,Primary,2002,384748.0
2453,Delhi (Ut),Female,Primary,2003,389618.0
2454,Delhi (Ut),Female,Primary,2004,394488.0
2455,Delhi (Ut),Female,Primary,2005,399358.0
2456,Delhi (Ut),Female,Primary,2006,404228.0
2457,Delhi (Ut),Female,Primary,2007,409098.0
2458,Delhi (Ut),Female,Primary,2008,413968.0
2459,Delhi (Ut),Female,Primary,2009,418838.0
2460,Delhi (Ut),Female,Primary,2010,423708.0
2461,Delhi (Ut),Female,Primary,2012,433444.0
2462,Delhi (Ut),Female,Primary,2013,438314.0
2463,Delhi (Ut),Female,Primary,2014,443184.0
2464,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2001,1630.0
2465,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2011,9345.0
2466,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2002,2402.0
2467,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2003,3174.0
2468,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2004,3946.0
2469,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2005,4718.0
2470,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2006,5490.0
2471,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2007,6262.0
2472,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2008,7034.0
2473,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2009,7806.0
2474,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2010,8578.0
2475,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2012,10117.0
2476,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2013,10889.0
2477,Delhi (Ut),Female,Technical Diploma Or Certificate Not Equal To Degree,2014,11661.0
2478,Delhi (Ut),Female,Unclassified,2001,211.0
2479,Delhi (Ut),Female,Unclassified,2011,1872.0
2480,Delhi (Ut),Female,Unclassified,2002,378.0
2481,Delhi (Ut),Female,Unclassified,2003,545.0
2482,Delhi (Ut),Female,Unclassified,2004,712.0
2483,Delhi (Ut),Female,Unclassified,2005,879.0
2484,Delhi (Ut),Female,Unclassified,2006,1046.0
2485,Delhi (Ut),Female,Unclassified,2007,1213.0
2486,Delhi (Ut),Female,Unclassified,2008,1380.0
2487,Delhi (Ut),Female,Unclassified,2009,1547.0
2488,Delhi (Ut),Female,Unclassified,2010,1714.0
2489,Delhi (Ut),Female,Unclassified,2012,2039.0
2490,Delhi (Ut),Female,Unclassified,2013,2206.0
2491,Delhi (Ut),Female,Unclassified,2014,2373.0
2492,Delhi (Ut),Female,Illiterate,2001,179834.0
2493,Delhi (Ut),Female,Illiterate,2011,193670.0
2494,Delhi (Ut),Female,Illiterate,2002,181218.0
2495,Delhi (Ut),Female,Illiterate,2003,182602.0
2496,Delhi (Ut),Female,Illiterate,2004,183986.0
2497,Delhi (Ut),Female,Illiterate,2005,185370.0
2498,Delhi (Ut),Female,Illiterate,2006,186754.0
2499,Delhi (Ut),Female,Illiterate,2007,188138.0
2500,Delhi (Ut),Female,Illiterate,2008,189522.0
2501,Delhi (Ut),Female,Illiterate,2009,190906.0
2502,Delhi (Ut),Female,Illiterate,2010,192290.0
2503,Delhi (Ut),Female,Illiterate,2012,195054.0
2504,Delhi (Ut),Female,Illiterate,2013,196438.0
2505,Delhi (Ut),Female,Illiterate,2014,197822.0
2506,Delhi (Ut),Female,Literate,2001,1473501.0
2507,Delhi (Ut),Female,Literate,2011,1933422.0
2508,Delhi (Ut),Female,Literate,2002,1519494.0
2509,Delhi (Ut),Female,Literate,2003,1565487.0
2510,Delhi (Ut),Female,Literate,2004,1611480.0
2511,Delhi (Ut),Female,Literate,2005,1657473.0
2512,Delhi (Ut),Female,Literate,2006,1703466.0
2513,Delhi (Ut),Female,Literate,2007,1749459.0
2514,Delhi (Ut),Female,Literate,2008,1795452.0
2515,Delhi (Ut),Female,Literate,2009,1841445.0
2516,Delhi (Ut),Female,Literate,2010,1887438.0
2517,Delhi (Ut),Female,Literate,2012,1979415.0
2518,Delhi (Ut),Female,Literate,2013,2025408.0
2519,Delhi (Ut),Female,Literate,2014,2071401.0
2520,Delhi (Ut),Female,Population Attending Educational Institutions,2001,1653335.0
2521,Delhi (Ut),Female,Population Attending Educational Institutions,2011,2127092.0
2522,Delhi (Ut),Female,Population Attending Educational Institutions,2002,1700711.0
2523,Delhi (Ut),Female,Population Attending Educational Institutions,2003,1748087.0
2524,Delhi (Ut),Female,Population Attending Educational Institutions,2004,1795463.0
2525,Delhi (Ut),Female,Population Attending Educational Institutions,2005,1842839.0
2526,Delhi (Ut),Female,Population Attending Educational Institutions,2006,1890215.0
2527,Delhi (Ut),Female,Population Attending Educational Institutions,2007,1937591.0
2528,Delhi (Ut),Female,Population Attending Educational Institutions,2008,1984967.0
2529,Delhi (Ut),Female,Population Attending Educational Institutions,2009,2032343.0
2530,Delhi (Ut),Female,Population Attending Educational Institutions,2010,2079719.0
2531,Delhi (Ut),Female,Population Attending Educational Institutions,2012,2174468.0
2532,Delhi (Ut),Female,Population Attending Educational Institutions,2013,2221844.0
2533,Delhi (Ut),Female,Population Attending Educational Institutions,2014,2269220.0
2534,Delhi (Ut),Female,Total Population,2001,6243273.0
2535,Delhi (Ut),Female,Total Population,2011,7800615.0
2536,Delhi (Ut),Female,Total Population,2002,6399008.0
2537,Delhi (Ut),Female,Total Population,2003,6554743.0
2538,Delhi (Ut),Female,Total Population,2004,6710478.0
2539,Delhi (Ut),Female,Total Population,2005,6866213.0
2540,Delhi (Ut),Female,Total Population,2006,7021948.0
2541,Delhi (Ut),Female,Total Population,2007,7177683.0
2542,Delhi (Ut),Female,Total Population,2008,7333418.0
2543,Delhi (Ut),Female,Total Population,2009,7489153.0
2544,Delhi (Ut),Female,Total Population,2010,7644888.0
2545,Delhi (Ut),Female,Total Population,2012,7956350.0
2546,Delhi (Ut),Female,Total Population,2013,8112085.0
2547,Delhi (Ut),Female,Total Population,2014,8267820.0
2548,Delhi (Ut),Male,Below Primary,2001,659295.0
2549,Delhi (Ut),Male,Below Primary,2011,658172.0
2550,Delhi (Ut),Male,Below Primary,2002,659183.0
2551,Delhi (Ut),Male,Below Primary,2003,659071.0
2552,Delhi (Ut),Male,Below Primary,2004,658959.0
2553,Delhi (Ut),Male,Below Primary,2005,658847.0
2554,Delhi (Ut),Male,Below Primary,2006,658735.0
2555,Delhi (Ut),Male,Below Primary,2007,658623.0
2556,Delhi (Ut),Male,Below Primary,2008,658511.0
2557,Delhi (Ut),Male,Below Primary,2009,658399.0
2558,Delhi (Ut),Male,Below Primary,2010,658287.0
2559,Delhi (Ut),Male,Below Primary,2012,658060.0
2560,Delhi (Ut),Male,Below Primary,2013,657948.0
2561,Delhi (Ut),Male,Below Primary,2014,657836.0
2562,Delhi (Ut),Male,Graduate & Above,2001,82543.0
2563,Delhi (Ut),Male,Graduate & Above,2011,216965.0
2564,Delhi (Ut),Male,Graduate & Above,2002,95986.0
2565,Delhi (Ut),Male,Graduate & Above,2003,109429.0
2566,Delhi (Ut),Male,Graduate & Above,2004,122872.0
2567,Delhi (Ut),Male,Graduate & Above,2005,136315.0
2568,Delhi (Ut),Male,Graduate & Above,2006,149758.0
2569,Delhi (Ut),Male,Graduate & Above,2007,163201.0
2570,Delhi (Ut),Male,Graduate & Above,2008,176644.0
2571,Delhi (Ut),Male,Graduate & Above,2009,190087.0
2572,Delhi (Ut),Male,Graduate & Above,2010,203530.0
2573,Delhi (Ut),Male,Graduate & Above,2012,230408.0
2574,Delhi (Ut),Male,Graduate & Above,2013,243851.0
2575,Delhi (Ut),Male,Graduate & Above,2014,257294.0
2576,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2001,144786.0
2577,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2011,263754.0
2578,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2002,156683.0
2579,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2003,168580.0
2580,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2004,180477.0
2581,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2005,192374.0
2582,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2006,204271.0
2583,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2007,216168.0
2584,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2008,228065.0
2585,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2009,239962.0
2586,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2010,251859.0
2587,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2012,275651.0
2588,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2013,287548.0
2589,Delhi (Ut),Male,Higher Secondary/Intermediate/Pre-University/Senior Secondary,2014,299445.0
2590,Delhi (Ut),Male,Literate Without Educational Level,2001,4525.0
2591,Delhi (Ut),Male,Literate Without Educational Level,2011,20911.0
2592,Delhi (Ut),Male,Literate Without Educational Level,2002,6164.0
2593,Delhi (Ut),Male,Literate Without Educational Level,2003,7803.0
2594,Delhi (Ut),Male,Literate Without Educational Level,2004,9442.0
2595,Delhi (Ut),Male,Literate Without Educational Level,2005,11081.0
2596,Delhi (Ut),Male,Literate Without Educational Level,2006,12720.0
2597,Delhi (Ut),Male,Literate Without Educational Level,2007,14359.0
2598,Delhi (Ut),Male,Literate Without Educational Level,2008,15998.0
2599,Delhi (Ut),Male,Literate Without Educational Level,2009,17637.0
2600,Delhi (Ut),Male,Literate Without Educational Level,2010,19276.0
2601,Delhi (Ut),Male,Literate Without Educational Level,2012,22550.0
2602,Delhi (Ut),Male,Literate Without Educational Level,2013,24189.0
2603,Delhi (Ut),Male,Literate Without Educational Level,2014,25828.0
2604,Delhi (Ut),Male,Matric/Secondary,2001,187214.0
2605,Delhi (Ut),Male,Matric/Secondary,2011,307347.0
2606,Delhi (Ut),Male,Matric/Secondary,2002,199228.0
2607,Delhi (Ut),Male,Matric/Secondary,2003,211242.0
2608,Delhi (Ut),Male,Matric/Secondary,2004,223256.0
2609,Delhi (Ut),Male,Matric/Secondary,2005,235270.0
2610,Delhi (Ut),Male,Matric/Secondary,2006,247284.0
2611,Delhi (Ut),Male,Matric/Secondary,2007,259298.0
2612,Delhi (Ut),Male,Matric/Secondary,2008,271312.0
2613,Delhi (Ut),Male,Matric/Secondary,2009,283326.0
2614,Delhi (Ut),Male,Matric/Secondary,2010,295340.0
2615,Delhi (Ut),Male,Matric/Secondary,2012,319361.0
2616,Delhi (Ut),Male,Matric/Secondary,2013,331375.0
2617,Delhi (Ut),Male,Matric/Secondary,2014,343389.0
2618,Delhi (Ut),Male,Middle,2001,259249.0
2619,Delhi (Ut),Male,Middle,2011,365462.0
2620,Delhi (Ut),Male,Middle,2002,269871.0
2621,Delhi (Ut),Male,Middle,2003,280493.0
2622,Delhi (Ut),Male,Middle,2004,291115.0
2623,Delhi (Ut),Male,Middle,2005,301737.0
2624,Delhi (Ut),Male,Middle,2006,312359.0
2625,Delhi (Ut),Male,Middle,2007,322981.0
2626,Delhi (Ut),Male,Middle,2008,333603.0
2627,Delhi (Ut),Male,Middle,2009,344225.0
2628,Delhi (Ut),Male,Middle,2010,354847.0
2629,Delhi (Ut),Male,Middle,2012,376084.0
2630,Delhi (Ut),Male,Middle,2013,386706.0
2631,Delhi (Ut),Male,Middle,2014,397328.0
2632,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2001,567.0
2633,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2011,1759.0
2634,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2002,687.0
2635,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2003,807.0
2636,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2004,927.0
2637,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2005,1047.0
2638,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2006,1167.0
2639,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2007,1287.0
2640,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2008,1407.0
2641,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2009,1527.0
2642,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2010,1647.0
2643,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2012,1879.0
2644,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2013,1999.0
2645,Delhi (Ut),Male,Non-Technical Diploma Or Certificate Not Equal To Degree,2014,2119.0
2646,Delhi (Ut),Male,Primary,2001,450407.0
2647,Delhi (Ut),Male,Primary,2011,518707.0
2648,Delhi (Ut),Male,Primary,2002,457237.0
2649,Delhi (Ut),Male,Primary,2003,464067.0
2650,Delhi (Ut),Male,Primary,2004,470897.0
2651,Delhi (Ut),Male,Primary,2005,477727.0
2652,Delhi (Ut),Male,Primary,2006,484557.0
2653,Delhi (Ut),Male,Primary,2007,491387.0
2654,Delhi (Ut),Male,Primary,2008,498217.0
2655,Delhi (Ut),Male,Primary,2009,505047.0
2656,Delhi (Ut),Male,Primary,2010,511877.0
2657,Delhi (Ut),Male,Primary,2012,525537.0
2658,Delhi (Ut),Male,Primary,2013,532367.0
2659,Delhi (Ut),Male,Primary,2014,539197.0
2660,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2001,4031.0
2661,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2011,14278.0
2662,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2002,5056.0
2663,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2003,6081.0
2664,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2004,7106.0
2665,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2005,8131.0
2666,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2006,9156.0
2667,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2007,10181.0
2668,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2008,11206.0
2669,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2009,12231.0
2670,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2010,13256.0
2671,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2012,15303.0
2672,Delhi (Ut),Male,Technical Diploma Or Certificate Not Equal To Degree,2013,16328.0
